ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
169,2025-07-18T09:02:12_Uni.jpg,2025-07-18T09:02:12,Uni,25.48,60.71,55266.0,42.91,54.3,10.7,0,no,B
170,2025-07-18T09:02:48_Uni.jpg,2025-07-18T09:02:48,Uni,25.68,60.47,55266.0,45.65,94.5,5.1,0,no,B
171,2025-07-18T09:03:14_Uni.jpg,2025-07-18T09:03:14,Uni,25.72,59.76,55266.0,39.98,79.5,9.2,0,no,B
172,2025-07-18T09:03:49_Uni.jpg,2025-07-18T09:03:49,Uni,25.73,59.27,55266.0,66.08,82.1,0,0,no,B
173,2025-07-18T09:04:23_Uni.jpg,2025-07-18T09:04:23,Uni,26.13,57.6,55266.0,63.05,85.1,0,0,no,B
174,2025-07-18T09:06:50_Uni.jpg,2025-07-18T09:06:50,Uni,26.43,55.1,55266.0,60.51,73.0,0,0,no,B
175,2025-07-18T09:07:22_Uni.jpg,2025-07-18T09:07:22,Uni,26.53,57.65,55266.0,32.26,62.3,16.1,6.4,no,B
176,2025-07-18T09:07:52_Uni.jpg,2025-07-18T09:07:52,Uni,26.56,57.59,52216.0,48.0,69.8,16.6,6.4,no,B
177,2025-07-18T09:08:20_Uni.jpg,2025-07-18T09:08:20,Uni,26.5,55.64,52216.0,71.26,74.7,7.0,0,no,B
178,2025-07-18T09:08:52_Uni.jpg,2025-07-18T09:08:52,Uni,26.56,55.71,52216.0,70.97,82.0,14.7,4.4,no,B
179,2025-07-18T09:09:57_Uni.jpg,2025-07-18T09:09:57,Uni,27.34,54.31,52216.0,48.39,17.1,61.7,25.7,no,B
180,2025-07-18T09:11:35_Uni.jpg,2025-07-18T09:11:35,Uni,27.67,51.45,52216.0,54.74,7.7,52.9,27.1,no,B
181,2025-07-18T09:12:27_Uni.jpg,2025-07-18T09:12:27,Uni,27.91,51.43,52216.0,57.48,46.6,0,0,no,B
182,2025-07-18T09:13:15_Uni.jpg,2025-07-18T09:13:15,Uni,27.86,51.6,52216.0,29.62,10.9,71.2,54.7,no,B
183,2025-07-18T09:13:40_Uni.jpg,2025-07-18T09:13:40,Uni,27.4,52.76,52216.0,53.67,48.2,41.1,23.6,no,B
184,2025-07-18T09:14:04_Uni.jpg,2025-07-18T09:14:04,Uni,27.05,54.49,52216.0,61.68,13.8,66.2,42.5,no,B
185,2025-07-18T09:14:50_Uni.jpg,2025-07-18T09:14:50,Uni,26.53,54.72,52216.0,57.97,19.5,18.0,18.1,no,B
186,2025-07-18T09:15:25_Uni.jpg,2025-07-18T09:15:25,Uni,26.36,55.97,52216.0,59.92,35.6,42.7,22.0,no,B
187,2025-07-18T09:22:36_Uni.jpg,2025-07-18T09:22:36,Uni,25.56,56.78,62708.0,42.13,6.4,40.6,30.2,no,B
